Fecha,23210160
2000-01-01,0.0
2000-02-01,2.0
2000-03-01,32.0
2000-04-01,20.0
2000-05-01,225.0
2000-06-01,384.0
2000-07-01,153.0
2000-08-01,85.0
2000-09-01,300.0
2000-10-01,194.0
2000-11-01,196.0
2000-12-01,66.0
2001-01-01,0.5
2001-02-01,0.0
2001-03-01,42.2
2001-04-01,36.7
2001-05-01,95.0
2001-06-01,95.0
2001-07-01,171.0
2001-08-01,45.0
2001-09-01,209.0
2001-10-01,116.0
2001-11-01,84.0
2001-12-01,26.0
2002-01-01,0.0
2002-02-01,24.0
2002-03-01,48.0
2002-04-01,180.0
2002-05-01,83.0
2002-06-01,241.0
2002-07-01,79.0
2002-08-01,92.0
2002-09-01,178.0
2002-10-01,290.0
2002-11-01,174.0
2002-12-01,70.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,42.0
2003-04-01,115.0
2003-05-01,213.0
2003-06-01,277.0
2003-07-01,113.0
2003-08-01,131.0
2003-09-01,221.0
2003-10-01,163.0
2003-11-01,115.0
2003-12-01,50.0
2004-01-01,0.0
2004-02-01,3.0
2004-03-01,0.0
2004-04-01,179.0
2004-05-01,173.0
2004-06-01,22.0
2004-07-01,76.0
2004-08-01,64.0
2004-09-01,200.0
2004-10-01,184.0
2004-11-01,67.0
2004-12-01,1.0
2005-01-01,44.0
2005-02-01,5.0
2005-03-01,1.0
2005-04-01,183.0
2005-05-01,115.0
2005-06-01,209.0
2005-07-01,99.0
2005-08-01,123.0
2005-09-01,249.0
2005-10-01,211.0
2005-11-01,234.0
2005-12-01,4.0
2006-01-01,0.0
2006-02-01,15.0
2006-03-01,37.0
2006-04-01,129.0
2006-05-01,195.0
2006-06-01,270.0
2006-07-01,171.0
2006-08-01,169.0
2006-09-01,218.0
2006-10-01,178.0
2006-11-01,215.0
2006-12-01,57.0
2007-01-01,0.0
2007-02-01,8.0
2007-03-01,83.0
2007-04-01,58.0
2007-05-01,336.0
2007-06-01,112.0
2007-07-01,35.0
2007-08-01,186.0
2007-09-01,250.0
2007-10-01,165.0
2007-11-01,84.0
2007-12-01,27.0
2008-01-01,15.0
2008-02-01,0.0
2008-03-01,8.0
2008-04-01,92.0
2008-05-01,333.0
2008-06-01,117.0
2008-07-01,207.0
2008-08-01,239.0
2008-09-01,224.0
2008-10-01,72.0
2008-11-01,148.0
2008-12-01,2.0
2009-01-01,101.0
2009-02-01,0.0
2009-03-01,49.0
2009-04-01,40.0
2009-05-01,111.0
2009-06-01,302.8
2009-07-01,21.0
2009-08-01,169.0
2009-09-01,95.0
2009-10-01,115.0
2009-11-01,131.0
2009-12-01,2.0
2010-01-01,0.0
2010-02-01,2.0
2010-03-01,48.0
2010-04-01,103.0
2010-05-01,442.0
2010-06-01,131.0
2010-07-01,236.0
2010-08-01,204.0
2010-09-01,323.0
2010-10-01,104.0
2010-11-01,275.0
2010-12-01,51.0
2011-01-01,1.0
2011-02-01,6.0
2011-03-01,185.0
2011-04-01,168.0
2011-05-01,131.0
2011-06-01,203.0
2011-07-01,176.0
2011-08-01,114.0
2011-09-01,133.0
2011-10-01,368.0
2011-11-01,261.0
2011-12-01,46.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,73.0
2012-04-01,244.0
2012-05-01,310.0
2012-06-01,164.0
2012-07-01,85.0
2012-08-01,228.0
2012-09-01,88.0
2012-10-01,91.0
2012-11-01,66.0
2012-12-01,29.0
2013-01-01,0.0
2013-02-01,1.0
2013-03-01,64.0
2013-04-01,136.0
2013-05-01,151.0
2013-06-01,131.0
2013-07-01,140.0
2013-08-01,67.0
2013-09-01,147.0
2013-10-01,212.0
2013-11-01,95.0
2013-12-01,51.0
2014-01-01,1.0
2014-02-01,5.0
2014-03-01,21.0
2014-04-01,81.0
2014-05-01,305.0
2014-06-01,37.0
2014-07-01,48.0
2014-08-01,93.0
2014-09-01,
2014-10-01,380.0
2014-11-01,96.0
2014-12-01,100.0
2015-01-01,3.0
2015-02-01,25.0
2015-03-01,56.0
2015-04-01,84.0
2015-05-01,184.0
2015-06-01,46.0
2015-07-01,88.0
2015-08-01,117.0
2015-09-01,84.0
2015-10-01,250.0
2015-11-01,173.0
2015-12-01,17.0
2016-01-01,5.0
2016-02-01,0.0
2016-03-01,36.0
2016-04-01,107.0
2016-05-01,126.0
2016-06-01,53.0
2016-07-01,150.0
2016-08-01,168.0
2016-09-01,136.0
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,85.0
2017-04-01,23.0
2017-05-01,214.0
2017-06-01,119.0
2017-07-01,192.0
2017-08-01,149.0
2017-09-01,124.0
2017-10-01,58.0
2017-11-01,144.0
2017-12-01,15.0
2018-01-01,6.0
2018-02-01,0.0
2018-03-01,2.0
2018-04-01,115.0
2018-05-01,255.0
2018-06-01,120.0
2018-07-01,42.0
2018-08-01,200.0
2018-09-01,161.0
2018-10-01,59.0
2018-11-01,99.0
2018-12-01,4.0
2019-01-01,0.0
2019-02-01,1.0
2019-03-01,119.0
2019-04-01,69.0
2019-05-01,217.0
2019-06-01,55.0
2019-07-01,104.0
2019-08-01,69.0
2019-09-01,126.0
2019-10-01,248.0
2019-11-01,111.0
2019-12-01,1.0
